id,code,name,material_type_ATUAL,category_ATUAL,subcategory_ATUAL,purchase_unit,usage_unit,conversion_factor,status,material_type_NOVO,category_NOVO,subcategory_NOVO,OBSERVACOES
f3803e32-fc47-4455-bd27-5b14ac47c1ef,INS0096,Azeitona sem caroço,ingredient,Insumo,conservas_enlatados,kg,g,1000,,Insumo,Alimentos & Ingredientes,Conservas & Enlatados,
ebb6d8a3-4f6f-4ca4-9684-262942ffda54,INS0084,Bicarbonato,ingredient,Insumo,condimentos_temperos,kg,g,1000,,Insumo,Alimentos & Ingredientes,Condimentos & Temperos,
687ad145-9a8b-4bc7-bba2-c7bbbe76c572,INS0079,Caixa para bolo festivo,ingredient,Embalagem,secundarias,unidade,unidade,1,,Insumo,Embalagens,Embalagens Secundárias,
bfd17805-9502-4f01-9f54-79d4b251eb34,INS0110,Cebola roxa,ingredient,Insumo,hortifruti,kg,g,1000,,Insumo,Alimentos & Ingredientes,Hortifruti,
c1952de3-fc9c-4ae7-a5bc-c8ecc6381fa4,INS0083,Cacau,ingredient,Insumo,acucares_adocantes,kg,g,1000,,Insumo,Alimentos & Ingredientes,Açúcares & Adoçantes,
c3a83cbc-c010-4886-a3ef-d55751eb55a7,INS0078,Cake board MDF,ingredient,Embalagem,primarias,unidade,unidade,1,,Insumo,Embalagens,Embalagens Primárias,
4fc923e9-2eb0-4739-a961-94f7c1d6dea0,INS0098,Castanha do pará,ingredient,Insumo,graos_cereais,kg,g,1000,,Insumo,Alimentos & Ingredientes,Grãos & Cereais,
a69877bb-241c-4686-b3d1-d1761d8dec70,INS0089,Chocolate nobre,ingredient,Insumo,acucares_adocantes,kg,g,1000,,Insumo,Alimentos & Ingredientes,Açúcares & Adoçantes,
98ee4c60-253e-45e3-85ed-e223067c7200,INS0076,Coco queimado,ingredient,Insumo,graos_cereais,kg,g,1000,,Insumo,Alimentos & Ingredientes,Grãos & Cereais,
e9e78c65-7219-4d60-a298-e28aaf5d0795,INS0081,Confeito,ingredient,Insumo,acucares_adocantes,unidade,unidade,1,,Insumo,Alimentos & Ingredientes,Açúcares & Adoçantes,
b4ec7521-e58a-440f-93c2-6d91dc072d07,INS0101,Copa,ingredient,Insumo,carnes_proteinas,kg,g,1000,,Insumo,Alimentos & Ingredientes,Proteínas,
b0923163-edfb-4117-8b87-077e0ae3011d,EMB0003,Copo Descartável 100ml,packaging,Embalagem,primarias,pacote,unidade,50,,Embalagem,Embalagens,Embalagens Primárias,
a6e95ca7-8d61-405c-88ae-043a80715fa8,INS0074,Desmoldante,ingredient,Insumo,oleos_gorduras,unidade,unidade,1,,Insumo,Alimentos & Ingredientes,Óleos & Gorduras,
e9832512-634c-4f37-85e9-603ae2ffb6cd,INS0107,Fermento biológico seco,ingredient,Insumo,condimentos_temperos,kg,g,1000,,Insumo,Alimentos & Ingredientes,Condimentos & Temperos,
f29653c7-4f68-4f27-a6b9-4685685c9b7b,INS0099,Figo turco,ingredient,Insumo,condimentos_temperos,kg,g,1000,,Insumo,Alimentos & Ingredientes,Condimentos & Temperos,
4e72f349-c8f8-4a9b-9c66-12d3e69e56d1,INS0082,Granule ,ingredient,Insumo,acucares_adocantes,kg,g,1000,,Insumo,Alimentos & Ingredientes,Açúcares & Adoçantes,
0691ba93-a5f6-452d-8c6f-e97c3e21a533,INS0086,Iogurte natural,ingredient,Insumo,laticinios,kg,g,1000,,Insumo,Alimentos & Ingredientes,Laticínios,
8ef60e2d-8595-4045-b7ef-5ff4e981f954,INS0090,Limão raspas,ingredient,Insumo,hortifruti,unidade,unidade,1,,Insumo,Alimentos & Ingredientes,Hortifruti,
c55a15b6-9c02-4f53-92f1-8f027c046a7f,INS0071,Lombo Canadense fatiado,ingredient,Insumo,carnes_proteinas,kg,g,1000,,Insumo,Alimentos & Ingredientes,Proteínas,
76ab0456-671f-471c-bb36-aeec0384702a,INS0112,Mel,ingredient,Insumo,acucares_adocantes,kg,g,1000,,Insumo,Alimentos & Ingredientes,Açúcares & Adoçantes,
15dfd302-b27f-4877-8419-b059dea0906d,INS0094,Molho pesto,ingredient,Insumo,conservas_enlatados,kg,g,1000,,Insumo,Alimentos & Ingredientes,Conservas & Enlatados,
af019dd5-0c2e-4066-b9e2-cde22d302999,INS0103,Pão preto alemão fatiado,ingredient,Insumo,graos_cereais,pacote,unidade,1,,Insumo,Alimentos & Ingredientes,Grãos & Cereais,
1da8c37c-ea25-4803-9814-273d691b4fa2,INS0115,Pimenta do reino,ingredient,Insumo,condimentos_temperos,kg,g,1000,,Insumo,Alimentos & Ingredientes,Condimentos & Temperos,
ef89472a-fb11-439d-90c2-990c23cde875,PAC0008,Bisnaga Artesano Vegetariana,finished_product,Produto Acabado,"Salgados (sanduíches, tortinhas, quiches)",un,un,1,,Produto Acabado,Produtos Prontos,Salgados,
9e875aff-7dbb-4e0a-8584-122832728ff4,INS0050,Leite integral,ingredient,Insumo,Laticínios,L,mL,1000,,Insumo,Alimentos & Ingredientes,Laticínios,
3d12b974-874e-4ed6-ac56-d8b7797da006,INS0120,Cerveja preta Malzbier,ingredient,Insumo,bebidas_liquidos,lata,unidade,1,,Insumo,Alimentos & Ingredientes,Líquidos & Bebidas Base,
2fc8c9d7-f9f4-4993-adcf-bf6f15a0edec,INS0051,Óleo,ingredient,Insumo,oleos_gorduras,unidade,mL,1000,,Insumo,Alimentos & Ingredientes,Óleos & Gorduras,
a7484557-1821-447d-93d0-8b350fe1ee8a,INS0109,Azeite de oliva,ingredient,Insumo,oleos_gorduras,L,mL,1000,,Insumo,Alimentos & Ingredientes,Óleos & Gorduras,
d9de56b8-23fa-4e16-ab4c-745a746f0938,INT0009,Recheio Cream Cheese Frosting,intermediate_product,Produto Intermediário,Recheios & Coberturas,g,g,1,,Produto Intermediário,Produtos Intermediários,Recheios & Coberturas,
d0eed1b0-c797-43c1-bb6b-52914d178a64,INS0130,Molho de tomate,ingredient,Insumo,Condimentos & Temperos,unidade,g,300,,Insumo,Alimentos & Ingredientes,Condimentos & Temperos,
da841277-1f9f-4bf1-a1cc-416dc23319d7,INS0121,Farinha integral,ingredient,Insumo,Grãos & Cereais,kg,g,1000,,Insumo,Alimentos & Ingredientes,Grãos & Cereais,
e0df1b57-5da5-4c66-907d-13abd1d7bfd2,INS0122,Glacê Re,ingredient,Produto Intermediário,Recheios & Coberturas,kg,g,1000,,Insumo,Produtos Intermediários,Recheios & Coberturas,
5c93ccbf-e1d8-48fc-a641-f120550f5f17,PAC0004,Café especial coado ,ingredient,Produto Acabado,"Bebidas (cafés, chás, sucos)",unidade,unidade,1,,Insumo,Produtos Prontos,Bebidas,
cec36a7e-2910-43b8-88a1-3378ac5ccbf3,INT0012,Massa Brownie de Cacau,intermediate_product,Produto Intermediário,Massas & Bases,g,g,1,,Produto Intermediário,Produtos Intermediários,Massas & Bases,
d6f8e914-bd6e-4e81-b4e8-921dd4f660ba,INS0062,Refrigerante Coca Cola ,ingredient,Produto Acabado,"Bebidas (cafés, chás, sucos)",unidade,mL,1,,Insumo,Produtos Prontos,Bebidas,
79275799-5d22-4cb4-8d78-4986e399717d,INS0085,Vinagre de maçã,ingredient,Insumo,condimentos_temperos,L,mL,1000,,Insumo,Alimentos & Ingredientes,Condimentos & Temperos,
649cebce-70f0-48f5-98d2-5ca49e3ea8ea,INS0093,Limão suco,ingredient,Insumo,hortifruti,kg,mL,1000,,Insumo,Alimentos & Ingredientes,Hortifruti,
d4df89d8-3639-42d9-a9b6-4e400cb56bf5,INS0119,Molho inglês,ingredient,Insumo,condimentos_temperos,L,mL,1000,,Insumo,Alimentos & Ingredientes,Condimentos & Temperos,
7af51242-80ce-481a-aa14-3fa6ae8dd00a,FIN0003,"Café Coado Tradicional 1,8L",finished_product,Produto Acabado,"Bebidas (cafés, chás, sucos)",mL,mL,1,,Produto Acabado,Produtos Prontos,Bebidas,
